Cycle No.	Current
Cycle	A
325	1.42578125E-4
326	8.63647460937506E-6
326	1.42578125E-4
327	8.75854492187495E-6
327	1.42181396484375E-4
328	8.60595703124994E-6
328	1.41845703125E-4
329	8.66699218750003E-6
329	1.4178466796875E-4
330	8.88061523437497E-6
330	1.414794921875E-4
331	8.392333984375E-6
331	1.40899658203125E-4
332	8.42285156249997E-6
332	1.40716552734375E-4
333	8.544921875E-6
333	1.40777587890625E-4
334	8.63647460937506E-6
334	1.4056396484375E-4
335	8.697509765625E-6
335	1.4044189453125E-4
336	8.72802734374997E-6
336	1.4013671875E-4
337	8.78906250000006E-6
337	1.400146484375E-4
338	8.72802734374997E-6
338	1.397705078125E-4
339	8.72802734374997E-6
339	1.39678955078125E-4
340	8.697509765625E-6
340	1.395263671875E-4
341	8.78906250000006E-6
341	1.39312744140625E-4
342	8.60595703124994E-6
342	1.3909912109375E-4
343	8.697509765625E-6
343	1.38824462890625E-4
344	8.78906250000006E-6
344	1.387939453125E-4
345	8.75854492187495E-6
345	1.38336181640625E-4
346	8.63647460937506E-6
346	1.3812255859375E-4
347	8.544921875E-6
347	1.37908935546875E-4
348	8.81958007812503E-6
348	1.37664794921875E-4
349	8.51440429687503E-6
349	1.37359619140625E-4
350	8.72802734374997E-6
350	1.3751220703125E-4
351	8.72802734374997E-6
351	1.3720703125E-4
352	8.66699218750003E-6
352	1.36962890625E-4
353	8.697509765625E-6
353	1.36749267578125E-4
354	8.63647460937506E-6
354	1.36627197265625E-4
355	8.81958007812503E-6
355	1.36566162109375E-4
356	8.72802734374997E-6
356	1.36383056640625E-4
357	8.72802734374997E-6
357	1.36260986328125E-4
358	8.72802734374997E-6
358	1.358642578125E-4
359	8.697509765625E-6
359	1.35955810546875E-4
360	8.88061523437497E-6
360	1.35589599609375E-4
361	8.697509765625E-6
361	1.356201171875E-4
362	8.88061523437497E-6
362	1.35162353515625E-4
363	8.75854492187495E-6
363	1.35162353515625E-4
364	8.697509765625E-6
364	1.348876953125E-4
365	8.85009765625E-6
365	1.3482666015625E-4
366	8.51440429687503E-6
366	1.3409423828125E-4
367	8.42285156249997E-6
367	1.341552734375E-4
368	8.60595703124994E-6
368	1.34246826171875E-4
369	8.72802734374997E-6
369	1.33941650390625E-4
370	8.544921875E-6
370	1.3385009765625E-4
371	8.57543945312497E-6
371	1.3360595703125E-4
372	8.544921875E-6
372	1.334228515625E-4
373	8.85009765625E-6
373	1.3336181640625E-4
374	8.66699218750003E-6
374	1.33270263671875E-4
375	8.544921875E-6
375	1.33148193359375E-4
376	8.60595703124994E-6
376	1.32904052734375E-4
377	8.85009765625E-6
377	1.32720947265625E-4
378	8.697509765625E-6
378	1.32720947265625E-4
379	8.697509765625E-6
379	1.32537841796875E-4
380	8.75854492187495E-6
380	1.32476806640625E-4
381	8.88061523437497E-6
381	1.322021484375E-4
382	8.81958007812503E-6
382	1.31927490234375E-4
383	8.72802734374997E-6
383	1.31927490234375E-4
384	8.697509765625E-6
