Voltage	Current	Scan No.
V	A	Scan
-0.4736328125	-4.61395263671875E-6	1
-0.47119140625	-4.38385009765625E-6	1
-0.46875	-4.0216064453125E-6	1
-0.46630859375	-4.3170166015625E-6	1
-0.4638671875	-4.23675537109375E-6	1
-0.46142578125	-4.50927734375E-6	1
-0.458984375	-3.72802734375E-6	1
-0.45654296875	-4.05029296875E-6	1
-0.4541015625	-3.89892578125E-6	1
-0.45166015625	-3.863525390625E-6	1
-0.44921875	-3.8037109375E-6	1
-0.44677734375	-3.8812255859375E-6	1
-0.4443359375	-3.89678955078125E-6	1
-0.44189453125	-3.72314453125E-6	1
-0.439453125	-3.707275390625E-6	1
-0.43701171875	-3.802490234375E-6	1
-0.4345703125	-3.53424072265625E-6	1
-0.43212890625	-3.43414306640625E-6	1
-0.4296875	-3.4954833984375E-6	1
-0.42724609375	-3.4979248046875E-6	1
-0.4248046875	-3.34442138671875E-6	1
-0.42236328125	-3.1671142578125E-6	1
-0.419921875	-3.42132568359375E-6	1
-0.41748046875	-3.2757568359375E-6	1
-0.4150390625	-3.1744384765625E-6	1
-0.41259765625	-3.2916259765625E-6	1
-0.41015625	-3.37890625E-6	1
-0.40771484375	-2.92327880859375E-6	1
-0.4052734375	-2.9998779296875E-6	1
-0.40283203125	-3.1427001953125E-6	1
-0.400390625	-2.92938232421875E-6	1
-0.39794921875	-2.60101318359375E-6	1
-0.3955078125	-2.81707763671875E-6	1
-0.39306640625	-2.734375E-6	1
-0.390625	-2.59246826171875E-6	1
-0.38818359375	-2.2515869140625E-6	1
-0.3857421875	-2.62359619140625E-6	1
-0.38330078125	-2.61322021484375E-6	1
-0.380859375	-2.63702392578125E-6	1
-0.37841796875	-2.1783447265625E-6	1
-0.3759765625	-2.47711181640625E-6	1
-0.37353515625	-2.5238037109375E-6	1
-0.37109375	-2.28668212890625E-6	1
-0.36865234375	-1.99951171875E-6	1
-0.3662109375	-2.26898193359375E-6	1
-0.36376953125	-2.26654052734375E-6	1
-0.361328125	-1.9354248046875E-6	1
-0.35888671875	-2.0391845703125E-6	1
-0.3564453125	-2.27569580078125E-6	1
-0.35400390625	-2.0709228515625E-6	1
-0.3515625	-1.90155029296875E-6	1
-0.34912109375	-2.09259033203125E-6	1
-0.3466796875	-2.0526123046875E-6	1
-0.34423828125	-2.02911376953125E-6	1
-0.341796875	-1.43646240234375E-6	1
-0.33935546875	-1.74041748046875E-6	1
-0.3369140625	-1.87347412109375E-6	1
-0.33447265625	-1.70013427734375E-6	1
-0.33203125	-1.23809814453125E-6	1
-0.32958984375	-1.70379638671875E-6	1
-0.3271484375	-1.52191162109375E-6	1
-0.32470703125	-1.4404296875E-6	1
-0.322265625	-1.53167724609375E-6	1
-0.31982421875	-1.57958984375E-6	1
-0.3173828125	-1.4892578125E-6	1
-0.31494140625	-1.57928466796875E-6	1
-0.3125	-1.361083984375E-6	1
-0.31005859375	-1.2493896484375E-6	1
-0.3076171875	-1.2646484375E-6	1
-0.30517578125	-1.30645751953125E-6	1
-0.302734375	-1.0443115234375E-6	1
-0.30029296875	-1.1663818359375E-6	1
-0.2978515625	-1.10443115234375E-6	1
-0.29541015625	-1.00341796875E-6	1
-0.29296875	-1.01226806640625E-6	1
-0.29052734375	-1.0382080078125E-6	1
-0.2880859375	-8.917236328125E-7	1
-0.28564453125	-9.1644287109375E-7	1
-0.283203125	-7.5836181640625E-7	1
-0.28076171875	-7.2479248046875E-7	1
-0.2783203125	-9.9945068359375E-7	1
-0.27587890625	-8.8134765625E-7	1
-0.2734375	-7.0770263671875E-7	1
-0.27099609375	-6.024169921875E-7	1
-0.2685546875	-7.086181640625E-7	1
-0.26611328125	-4.8736572265625E-7	1
-0.263671875	-4.2816162109375E-7	1
-0.26123046875	-4.180908203125E-7	1
-0.2587890625	-3.375244140625E-7	1
-0.25634765625	-4.11376953125E-7	1
-0.25390625	-3.741455078125E-7	1
-0.25146484375	-5.0323486328125E-7	1
-0.2490234375	-5.4046630859375E-7	1
-0.24658203125	-4.400634765625E-7	1
-0.244140625	-1.708984375E-7	1
-0.24169921875	2.1728515625E-7	1
-0.2392578125	-7.0220947265625E-7	1
-0.23681640625	-1.6265869140625E-7	1
-0.234375	-7.26318359375E-8	1
-0.23193359375	-2.0294189453125E-7	1
-0.2294921875	-8.85009765625E-8	1
-0.22705078125	-5.950927734375E-8	1
-0.224609375	-2.5238037109375E-7	1
-0.22216796875	1.8798828125E-7	1
-0.2197265625	-6.16455078125E-8	1
-0.21728515625	1.7547607421875E-7	1
-0.21484375	3.8787841796875E-7	1
-0.21240234375	9.6435546875E-8	1
-0.2099609375	2.215576171875E-7	1
-0.20751953125	1.995849609375E-7	1
-0.205078125	3.424072265625E-7	1
-0.20263671875	2.24609375E-7	1
-0.2001953125	5.04150390625E-7	1
-0.19775390625	3.759765625E-7	1
-0.1953125	4.1839599609375E-7	1
-0.19287109375	5.0537109375E-7	1
-0.1904296875	6.8603515625E-7	1
-0.18798828125	4.6417236328125E-7	1
-0.185546875	6.817626953125E-7	1
-0.18310546875	6.488037109375E-7	1
-0.1806640625	6.4056396484375E-7	1
-0.17822265625	3.7506103515625E-7	1
-0.17578125	8.88671875E-7	1
-0.17333984375	6.451416015625E-7	1
-0.1708984375	5.70068359375E-7	1
-0.16845703125	8.0841064453125E-7	1
-0.166015625	8.2611083984375E-7	1
-0.16357421875	9.4024658203125E-7	1
-0.1611328125	1.08551025390625E-6	1
-0.15869140625	1.01226806640625E-6	1
-0.15625	9.832763671875E-7	1
-0.15380859375	1.04644775390625E-6	1
-0.1513671875	7.4371337890625E-7	1
-0.14892578125	1.00921630859375E-6	1
-0.146484375	1.23199462890625E-6	1
-0.14404296875	1.0626220703125E-6	1
-0.1416015625	9.8052978515625E-7	1
