 time           time           v(p)           v(s0)          v(s1)          v(w_mem)       v(n)          
 5.4645120e-06  5.4645120e-06  1.9787420e+00  1.2750267e-05  1.2794526e-05  5.0000829e-01  9.9928095e-03 
 5.5145120e-06  5.5145120e-06  1.9739298e+00  1.2894962e-05  1.2939723e-05  5.0000839e-01  9.9685092e-03 
 5.5645120e-06  5.5645120e-06  1.9686305e+00  1.3039601e-05  1.3084864e-05  5.0000848e-01  9.9417494e-03 
 5.6145120e-06  5.6145120e-06  1.9628455e+00  1.3184177e-05  1.3229942e-05  5.0000858e-01  9.9125365e-03 
 5.6645120e-06  5.6645120e-06  1.9565762e+00  1.3328684e-05  1.3374950e-05  5.0000867e-01  9.8808779e-03 
 5.7145120e-06  5.7145120e-06  1.9498242e+00  1.3473116e-05  1.3519884e-05  5.0000876e-01  9.8467813e-03 
 5.7645120e-06  5.7645120e-06  1.9425910e+00  1.3617466e-05  1.3664735e-05  5.0000886e-01  9.8102551e-03 
 5.8145120e-06  5.8145120e-06  1.9348786e+00  1.3761728e-05  1.3809497e-05  5.0000895e-01  9.7713084e-03 
 5.8645120e-06  5.8645120e-06  1.9266888e+00  1.3905894e-05  1.3954164e-05  5.0000905e-01  9.7299508e-03 
 5.9145120e-06  5.9145120e-06  1.9180235e+00  1.4049956e-05  1.4098727e-05  5.0000914e-01  9.6861924e-03 
 5.9645120e-06  5.9645120e-06  1.9088851e+00  1.4193909e-05  1.4243179e-05  5.0000923e-01  9.6400441e-03 
 6.0145120e-06  6.0145120e-06  1.8992756e+00  1.4337742e-05  1.4387511e-05  5.0000933e-01  9.5915172e-03 
 6.0645120e-06  6.0645120e-06  1.8891975e+00  1.4481449e-05  1.4531717e-05  5.0000942e-01  9.5406237e-03 
 6.1145120e-06  6.1145120e-06  1.8786533e+00  1.4625020e-05  1.4675787e-05  5.0000951e-01  9.4873762e-03 
 6.1645120e-06  6.1645120e-06  1.8676456e+00  1.4768447e-05  1.4819711e-05  5.0000961e-01  9.4317879e-03 
 6.2145120e-06  6.2145120e-06  1.8561770e+00  1.4911720e-05  1.4963482e-05  5.0000970e-01  9.3738723e-03 
 6.2645120e-06  6.2645120e-06  1.8442505e+00  1.5054830e-05  1.5107088e-05  5.0000979e-01  9.3136439e-03 
 6.3145120e-06  6.3145120e-06  1.8318689e+00  1.5197765e-05  1.5250520e-05  5.0000989e-01  9.2511174e-03 
 6.3645120e-06  6.3645120e-06  1.8190354e+00  1.5340516e-05  1.5393766e-05  5.0000998e-01  9.1863083e-03 
 6.4145120e-06  6.4145120e-06  1.8057530e+00  1.5483071e-05  1.5536816e-05  5.0001007e-01  9.1192327e-03 
 6.4645120e-06  6.4645120e-06  1.7920251e+00  1.5625418e-05  1.5679657e-05  5.0001016e-01  9.0499069e-03 
 6.5145120e-06  6.5145120e-06  1.7778550e+00  1.5767544e-05  1.5822276e-05  5.0001026e-01  8.9783482e-03 
 6.5645120e-06  6.5645120e-06  1.7632462e+00  1.5909437e-05  1.5964662e-05  5.0001035e-01  8.9045742e-03 
 6.6145120e-06  6.6145120e-06  1.7482025e+00  1.6051083e-05  1.6106799e-05  5.0001044e-01  8.8286031e-03 
 6.6645120e-06  6.6645120e-06  1.7327273e+00  1.6192466e-05  1.6248674e-05  5.0001053e-01  8.7504537e-03 
 6.7145120e-06  6.7145120e-06  1.7168247e+00  1.6333573e-05  1.6390270e-05  5.0001063e-01  8.6701451e-03 
 6.7645120e-06  6.7645120e-06  1.7004984e+00  1.6474386e-05  1.6531572e-05  5.0001072e-01  8.5876973e-03 
 6.8145120e-06  6.8145120e-06  1.6837526e+00  1.6614889e-05  1.6672563e-05  5.0001081e-01  8.5031306e-03 
 6.8645120e-06  6.8645120e-06  1.6665913e+00  1.6755064e-05  1.6813224e-05  5.0001090e-01  8.4164659e-03 
 6.9145120e-06  6.9145120e-06  1.6490188e+00  1.6894891e-05  1.6953537e-05  5.0001099e-01  8.3277244e-03 
 6.9645120e-06  6.9645120e-06  1.6310395e+00  1.7034351e-05  1.7093481e-05  5.0001108e-01  8.2369282e-03 
 7.0145120e-06  7.0145120e-06  1.6126577e+00  1.7173423e-05  1.7233036e-05  5.0001117e-01  8.1440996e-03 
 7.0645120e-06  7.0645120e-06  1.5938780e+00  1.7312084e-05  1.7372178e-05  5.0001126e-01  8.0492616e-03 
 7.1145120e-06  7.1145120e-06  1.5747050e+00  1.7450312e-05  1.7510885e-05  5.0001135e-01  7.9524374e-03 
 7.1645120e-06  7.1645120e-06  1.5551435e+00  1.7588080e-05  1.7649132e-05  5.0001144e-01  7.8536511e-03 
 7.2145120e-06  7.2145120e-06  1.5351984e+00  1.7725363e-05  1.7786891e-05  5.0001153e-01  7.7529270e-03 
 7.2645120e-06  7.2645120e-06  1.5148744e+00  1.7862134e-05  1.7924137e-05  5.0001162e-01  7.6502899e-03 
 7.3145120e-06  7.3145120e-06  1.4941766e+00  1.7998362e-05  1.8060838e-05  5.0001171e-01  7.5457651e-03 
 7.3645120e-06  7.3645120e-06  1.4731102e+00  1.8134017e-05  1.8196964e-05  5.0001180e-01  7.4393786e-03 
 7.4145120e-06  7.4145120e-06  1.4516803e+00  1.8269067e-05  1.8332482e-05  5.0001188e-01  7.3311564e-03 
 7.4645120e-06  7.4645120e-06  1.4298922e+00  1.8403476e-05  1.8467358e-05  5.0001197e-01  7.2211253e-03 
 7.5145120e-06  7.5145120e-06  1.4077514e+00  1.8537209e-05  1.8601556e-05  5.0001206e-01  7.1093125e-03 
 7.5645120e-06  7.5645120e-06  1.3852632e+00  1.8670227e-05  1.8735035e-05  5.0001215e-01  6.9957455e-03 
 7.6145120e-06  7.6145120e-06  1.3624332e+00  1.8802490e-05  1.8867758e-05  5.0001223e-01  6.8804524e-03 
 7.6645120e-06  7.6645120e-06  1.3392670e+00  1.8933955e-05  1.8999679e-05  5.0001232e-01  6.7634616e-03 
 7.7145120e-06  7.7145120e-06  1.3157704e+00  1.9064577e-05  1.9130754e-05  5.0001240e-01  6.6448020e-03 
 7.7645120e-06  7.7645120e-06  1.2919491e+00  1.9194308e-05  1.9260935e-05  5.0001249e-01  6.5245028e-03 
 7.8145120e-06  7.8145120e-06  1.2678091e+00  1.9323099e-05  1.9390173e-05  5.0001257e-01  6.4025937e-03 
 7.8645120e-06  7.8645120e-06  1.2433563e+00  1.9450897e-05  1.9518414e-05  5.0001265e-01  6.2791048e-03 
 7.9145120e-06  7.9145120e-06  1.2185966e+00  1.9577646e-05  1.9645604e-05  5.0001274e-01  6.1540667e-03 
 7.9645120e-06  7.9645120e-06  1.1935363e+00  1.9703288e-05  1.9771682e-05  5.0001282e-01  6.0275100e-03 
 8.0145120e-06  8.0145120e-06  1.1681816e+00  1.9827763e-05  1.9896589e-05  5.0001290e-01  5.8994661e-03 
 8.0645120e-06  8.0645120e-06  1.1425386e+00  1.9951005e-05  2.0020259e-05  5.0001298e-01  5.7699665e-03 
 8.1145120e-06  8.1145120e-06  1.1166136e+00  2.0072949e-05  2.0142626e-05  5.0001306e-01  5.6390433e-03 
 8.1645120e-06  8.1645120e-06  1.0904132e+00  2.0193523e-05  2.0263618e-05  5.0001314e-01  5.5067286e-03 
 8.2145120e-06  8.2145120e-06  1.0639438e+00  2.0312653e-05  2.0383162e-05  5.0001321e-01  5.3730552e-03 
 8.2645120e-06  8.2645120e-06  1.0372118e+00  2.0430263e-05  2.0501180e-05  5.0001329e-01  5.2380560e-03 
 8.3145120e-06  8.3145120e-06  1.0102239e+00  2.0546272e-05  2.0617592e-05  5.0001337e-01  5.1017644e-03 
 8.3645120e-06  8.3645120e-06  9.8298674e-01  2.0660597e-05  2.0732314e-05  5.0001344e-01  4.9642139e-03 
 8.4145120e-06  8.4145120e-06  9.5550706e-01  2.0773149e-05  2.0845257e-05  5.0001351e-01  4.8254385e-03 
 8.4645120e-06  8.4645120e-06  9.2779161e-01  2.0883840e-05  2.0956332e-05  5.0001359e-01  4.6854724e-03 
 8.5145120e-06  8.5145120e-06  8.9984725e-01  2.0992574e-05  2.1065443e-05  5.0001366e-01  4.5443503e-03 
 8.5645120e-06  8.5645120e-06  8.7168086e-01  2.1099254e-05  2.1172494e-05  5.0001373e-01  4.4021068e-03 
 8.6145120e-06  8.6145120e-06  8.4329940e-01  2.1203781e-05  2.1277384e-05  5.0001379e-01  4.2587772e-03 
 8.6645120e-06  8.6645120e-06  8.1470987e-01  2.1306050e-05  2.1380008e-05  5.0001386e-01  4.1143967e-03 
 8.7145120e-06  8.7145120e-06  7.8591932e-01  2.1405956e-05  2.1480260e-05  5.0001393e-01  3.9690009e-03 
 8.7645120e-06  8.7645120e-06  7.5693486e-01  2.1503388e-05  2.1578030e-05  5.0001399e-01  3.8226259e-03 
 8.8145120e-06  8.8145120e-06  7.2776363e-01  2.1598235e-05  2.1673207e-05  5.0001405e-01  3.6753076e-03 
 8.8645120e-06  8.8645120e-06  6.9841284e-01  2.1690385e-05  2.1765676e-05  5.0001411e-01  3.5270824e-03 
 8.9145120e-06  8.9145120e-06  6.6888973e-01  2.1779719e-05  2.1855321e-05  5.0001417e-01  3.3779870e-03 
 8.9645120e-06  8.9645120e-06  6.3920158e-01  2.1866123e-05  2.1942024e-05  5.0001422e-01  3.2280580e-03 
 9.0145120e-06  9.0145120e-06  6.0935571e-01  2.1949476e-05  2.2025667e-05  5.0001428e-01  3.0773325e-03 
 9.0645120e-06  9.0645120e-06  5.7935949e-01  2.2029660e-05  2.2106130e-05  5.0001433e-01  2.9258477e-03 
 9.1145120e-06  9.1145120e-06  5.4922033e-01  2.2106557e-05  2.2183293e-05  5.0001438e-01  2.7736409e-03 
 9.1645120e-06  9.1645120e-06  5.1894566e-01  2.2180046e-05  2.2257037e-05  5.0001443e-01  2.6207497e-03 
 9.2145120e-06  9.2145120e-06  4.8854294e-01  2.2250011e-05  2.2327245e-05  5.0001447e-01  2.4672119e-03 
 9.2645120e-06  9.2645120e-06  4.5801968e-01  2.2316335e-05  2.2393800e-05  5.0001452e-01  2.3130652e-03 
 9.3145120e-06  9.3145120e-06  4.2738341e-01  2.2378905e-05  2.2456587e-05  5.0001456e-01  2.1583478e-03 
 9.3645120e-06  9.3645120e-06  3.9664170e-01  2.2437609e-05  2.2515495e-05  5.0001460e-01  2.0030979e-03 
 9.4145120e-06  9.4145120e-06  3.6580211e-01  2.2492341e-05  2.2570417e-05  5.0001463e-01  1.8473537e-03 
 9.4645120e-06  9.4645120e-06  3.3487227e-01  2.2542998e-05  2.2621249e-05  5.0001466e-01  1.6911536e-03 
 9.5145120e-06  9.5145120e-06  3.0385981e-01  2.2589482e-05  2.2667894e-05  5.0001469e-01  1.5345362e-03 
 9.5645120e-06  9.5645120e-06  2.7277237e-01  2.2631701e-05  2.2710260e-05  5.0001472e-01  1.3775402e-03 
 9.6145120e-06  9.6145120e-06  2.4161763e-01  2.2669570e-05  2.2748261e-05  5.0001475e-01  1.2202043e-03 
 9.6645120e-06  9.6645120e-06  2.1040328e-01  2.2703012e-05  2.2781819e-05  5.0001477e-01  1.0625673e-03 
 9.7145120e-06  9.7145120e-06  1.7913701e-01  2.2731957e-05  2.2810863e-05  5.0001479e-01  9.0466812e-04 
 9.7645120e-06  9.7645120e-06  1.4782654e-01  2.2756341e-05  2.2835333e-05  5.0001480e-01  7.4654569e-04 
 9.8145120e-06  9.8145120e-06  1.1647960e-01  2.2776114e-05  2.2855175e-05  5.0001482e-01  5.8823905e-04 
 9.8645120e-06  9.8645120e-06  8.5103915e-02  2.2791233e-05  2.2870345e-05  5.0001483e-01  4.2978727e-04 
 9.9145120e-06  9.9145120e-06  5.3707235e-02  2.2801663e-05  2.2880811e-05  5.0001483e-01  2.7122943e-04 
 9.9645120e-06  9.9645120e-06  2.2297304e-02  2.2807381e-05  2.2886550e-05  5.0001484e-01  1.1260466e-04 
