Voltage	Current	Upper Vertex
V	A	V
-0.63232421875	-9.4024658203125E-6	0.25 V
-0.634765625	-9.7381591796875E-6	0.25 V
-0.63720703125	-9.814453125E-6	0.25 V
-0.6396484375	-9.3353271484375E-6	0.25 V
-0.64208984375	-9.283447265625E-6	0.25 V
-0.64453125	-9.4451904296875E-6	0.25 V
-0.64697265625	-9.7320556640625E-6	0.25 V
-0.6494140625	-9.7930908203125E-6	0.25 V
-0.65185546875	-1.01104736328125E-5	0.25 V
-0.654296875	-9.954833984375E-6	0.25 V
-0.65673828125	-9.881591796875E-6	0.25 V
-0.6591796875	-1.01959228515625E-5	0.25 V
-0.66162109375	-9.765625E-6	0.25 V
-0.6640625	-9.9639892578125E-6	0.25 V
-0.66650390625	-1.01165771484375E-5	0.25 V
-0.6689453125	-9.87548828125E-6	0.25 V
-0.67138671875	-1.0076904296875E-5	0.25 V
-0.673828125	-1.01104736328125E-5	0.25 V
-0.67626953125	-9.9395751953125E-6	0.25 V
-0.6787109375	-1.01470947265625E-5	0.25 V
-0.68115234375	-1.05255126953125E-5	0.25 V
-0.68359375	-1.00830078125E-5	0.25 V
-0.68603515625	-9.844970703125E-6	0.25 V
-0.6884765625	-1.085205078125E-5	0.25 V
-0.69091796875	-1.019287109375E-5	0.25 V
-0.693359375	-1.05499267578125E-5	0.25 V
-0.69580078125	-1.02447509765625E-5	0.25 V
-0.6982421875	-1.03485107421875E-5	0.25 V
-0.70068359375	-1.0699462890625E-5	0.25 V
-0.703125	-1.05377197265625E-5	0.25 V
-0.70556640625	-1.07177734375E-5	0.25 V
-0.7080078125	-1.0516357421875E-5	0.25 V
-0.71044921875	-1.0919189453125E-5	0.25 V
-0.712890625	-1.09375E-5	0.25 V
-0.71533203125	-1.07574462890625E-5	0.25 V
-0.7177734375	-1.09375E-5	0.25 V
-0.72021484375	-1.0595703125E-5	0.25 V
-0.72265625	-1.06292724609375E-5	0.25 V
-0.72509765625	-1.1376953125E-5	0.25 V
-0.7275390625	-1.08551025390625E-5	0.25 V
-0.72998046875	-1.0943603515625E-5	0.25 V
-0.732421875	-1.1053466796875E-5	0.25 V
-0.73486328125	-1.13067626953125E-5	0.25 V
